时间,电压V1,电压V2,电压V3,电流I1,电流I2,电流I3,有功功率,无功功率,视在功率,功率因素,容抗,频率
2019-09-11 10:55:56.423,393,394,392,3627,3633,3569,4158,-13,4158,1,49.99,157938
2019-09-11 10:55:56.593,393,394,389,3642,3615,3548,4206,43,4206,1,49.96,157939
2019-09-11 10:55:56.659,389,387,393,3660,3624,3561,4190,-46,4191,1,49.94,157940
2019-09-11 10:55:56.799,393,392,390,3629,3622,3563,4210,-59,4210,1,49.95,157941
2019-09-11 10:55:56.897,393,393,389,3644,3626,3581,4246,-33,4246,1,50.01,157942
2019-09-11 10:55:56.961,390,391,384,3646,3640,3549,4250,-10,4250,1,49.98,157943
2019-09-11 10:55:57.104,387,388,386,3658,3625,3578,4227,-11,4227,1,49.95,157944
2019-09-11 10:55:57.229,389,388,389,3647,3626,3585,4206,-60,4207,1,49.98,157945
2019-09-11 10:55:57.341,390,392,394,3649,3642,3572,4227,-55,4227,1,49.95,157946
2019-09-11 10:55:57.419,390,392,388,3640,3619,3562,4252,-44,4252,1,49.94,157947
2019-09-11 10:55:57.521,387,389,388,3658,3625,3573,4191,-18,4191,1,49.98,157948
2019-09-11 10:55:57.652,395,397,391,3652,3618,3569,4223,-56,4224,1,49.93,157949
2019-09-11 10:55:57.780,392,394,396,3606,3622,3571,4274,-55,4274,1,49.94,157950
2019-09-11 10:55:57.871,390,392,391,3646,3637,3559,4248,25,4248,1,49.98,157951
2019-09-11 10:55:57.983,393,388,389,3643,3624,3561,4238,-27,4238,1,49.99,157952
2019-09-11 10:55:58.062,392,393,395,3629,3625,3551,4190,-31,4190,1,49.97,157953
2019-09-11 10:55:58.165,393,390,388,3626,3611,3550,4246,10,4246,1,49.98,157954
2019-09-11 10:55:58.268,396,394,389,3638,3599,3549,4240,-1,4240,1,49.98,157955
2019-09-11 10:55:58.396,395,396,393,3636,3619,3552,4167,-21,4167,1,49.97,157956
2019-09-11 10:55:58.491,389,392,392,3634,3635,3567,4232,-43,4232,1,49.97,157957
2019-09-11 10:55:58.618,392,392,390,3625,3619,3552,4176,-21,4176,1,49.99,157958
2019-09-11 10:55:58.752,391,387,387,3617,3603,3539,4248,33,4248,1,49.96,157959
2019-09-11 10:55:58.866,394,393,393,3630,3611,3545,4185,-37,4186,1,49.97,157960
2019-09-11 10:55:59.003,390,390,387,3633,3617,3551,4242,16,4242,1,49.98,157961
2019-09-11 10:55:59.114,389,392,389,3650,3614,3569,4224,-63,4225,1,49.95,157962
2019-09-11 10:55:59.245,396,392,389,3607,3611,3551,4222,12,4222,1,49.95,157963
2019-09-11 10:55:59.339,388,394,391,3636,3612,3549,4251,-45,4252,1,49.95,157964
2019-09-11 10:55:59.435,390,387,384,3642,3606,3558,4248,-59,4249,1,49.97,157965
2019-09-11 10:55:59.546,390,395,394,3626,3629,3572,4235,-61,4235,1,49.97,157966
2019-09-11 10:55:59.624,388,388,388,3645,3628,3563,4198,-10,4198,1,49.95,157967
2019-09-11 10:55:59.734,391,391,390,3647,3608,3550,4236,-29,4236,1,49.97,157968
2019-09-11 10:55:59.829,390,387,390,3626,3612,3566,4180,4,4180,1,49.98,157969
2019-09-11 10:55:59.946,391,393,389,3630,3625,3547,4180,11,4180,1,49.97,157970
2019-09-11 10:56:00.024,387,388,394,3652,3609,3558,4209,3,4209,1,49.96,157971
2019-09-11 10:56:00.118,386,393,393,3630,3628,3566,4181,-24,4181,1,49.97,157972
2019-09-11 10:56:00.235,391,392,388,3635,3604,3542,4258,29,4258,1,49.96,157973
2019-09-11 10:56:00.323,387,386,384,3640,3617,3557,4170,-23,4170,1,49.97,157974
2019-09-11 10:56:00.419,392,393,392,3647,3629,3548,4256,-44,4256,1,49.98,157975
2019-09-11 10:56:00.529,388,387,388,3634,3629,3543,4259,-44,4259,1,49.98,157976
2019-09-11 10:56:00.639,391,393,391,3630,3624,3569,4230,-15,4230,1,49.94,157977
2019-09-11 10:56:00.717,394,392,395,3635,3633,3571,4225,2,4225,1,49.96,157978
2019-09-11 10:56:00.828,392,393,395,3650,3639,3570,4235,-24,4235,1,49.98,157979
2019-09-11 10:56:00.952,390,388,386,3637,3632,3575,4226,-10,4226,1,49.99,157980
2019-09-11 10:56:01.065,397,396,396,3634,3628,3576,4261,-49,4261,1,49.97,157981
2019-09-11 10:56:01.174,390,389,388,3643,3633,3583,4274,-11,4274,1,49.97,157982
2019-09-11 10:56:01.270,393,390,386,3640,3632,3582,4263,2,4263,1,49.96,157983
2019-09-11 10:56:01.348,393,393,390,3655,3624,3567,4254,1,4254,1,49.99,157984
2019-09-11 10:56:01.426,393,391,391,3642,3630,3557,4246,-24,4246,1,49.94,157985
2019-09-11 10:56:01.525,393,387,385,3650,3638,3569,4297,-12,4297,1,50,157986
2019-09-11 10:56:01.631,395,397,395,3669,3647,3596,4199,-45,4199,1,49.98,157987
2019-09-11 10:56:01.743,389,390,385,3637,3638,3576,4250,-29,4250,1,50,157988
2019-09-11 10:56:01.822,390,390,388,3669,3642,3585,4255,-6,4255,1,49.97,157989
2019-09-11 10:56:01.954,391,391,392,3662,3654,3586,4248,-37,4249,1,49.98,157990
2019-09-11 10:56:02.053,395,394,394,3674,3640,3586,4245,-6,4245,1,49.98,157991
2019-09-11 10:56:02.166,391,396,394,3652,3632,3577,4230,-86,4230,1,49.99,157992
2019-09-11 10:56:02.309,387,387,388,3654,3648,3569,4252,16,4252,1,49.93,157993
2019-09-11 10:56:02.451,390,389,393,3679,3657,3602,4266,4,4266,1,49.97,157994
2019-09-11 10:56:02.579,389,390,386,3666,3654,3586,4257,-10,4257,1,49.97,157995
2019-09-11 10:56:02.675,389,389,388,3657,3642,3585,4299,-55,4300,1,49.96,157996
2019-09-11 10:56:02.769,391,394,390,3669,3663,3587,4272,-5,4272,1,49.94,157997
2019-09-11 10:56:02.847,389,394,395,3653,3659,3586,4261,-37,4261,1,49.97,157998
2019-09-11 10:56:02.950,392,392,387,3679,3663,3593,4247,-5,4247,1,49.98,157999
2019-09-11 10:56:03.071,391,386,388,3682,3648,3600,4263,-62,4263,1,50,158000
2019-09-11 10:56:03.199,396,398,390,3672,3659,3606,4273,11,4273,1,49.99,158001
2019-09-11 10:56:03.261,385,389,386,3670,3634,3589,4276,3,4276,1,49.97,158002
2019-09-11 10:56:03.386,388,390,386,3666,3643,3585,4268,-12,4268,1,49.95,158003
2019-09-11 10:56:03.448,392,393,389,3677,3665,3583,4256,11,4256,1,49.97,158004
2019-09-11 10:56:03.542,393,391,386,3672,3650,3579,4277,-3,4277,1,49.98,158005
2019-09-11 10:56:03.638,392,395,394,3679,3649,3581,4208,-16,4208,1,49.98,158006
2019-09-11 10:56:03.716,392,385,385,3676,3657,3587,4220,-41,4220,1,49.97,158007
2019-09-11 10:56:03.828,395,399,397,3669,3640,3569,4295,-30,4295,1,49.96,158008
2019-09-11 10:56:03.965,390,395,392,3669,3644,3587,4281,-34,4281,1,49.94,158009
2019-09-11 10:56:04.105,396,391,390,3670,3663,3588,4281,30,4281,1,49.97,158010
2019-09-11 10:56:04.232,388,393,391,3680,3670,3612,4307,32,4307,1,49.95,158011
2019-09-11 10:56:04.349,392,391,388,3693,3666,3615,4307,-3,4307,1,49.97,158012
2019-09-11 10:56:04.421,396,393,394,3687,3679,3608,4261,-44,4261,1,49.99,158013
2019-09-11 10:56:04.551,391,390,393,3682,3673,3610,4277,-71,4277,1,50,158014
2019-09-11 10:56:04.681,387,390,388,3696,3666,3601,4299,-14,4299,1,49.97,158015
2019-09-11 10:56:04.807,395,393,395,3702,3684,3622,4216,-27,4216,1,49.97,158016
2019-09-11 10:56:04.933,393,392,396,3680,3666,3609,4258,-94,4259,1,49.94,158017
2019-09-11 10:56:05.049,389,389,390,3696,3691,3622,4290,-20,4290,1,49.96,158018
2019-09-11 10:56:05.127,397,393,393,3687,3683,3613,4313,-39,4313,1,49.97,158019
2019-09-11 10:56:05.221,391,389,388,3715,3681,3626,4262,-23,4262,1,49.99,158020
2019-09-11 10:56:05.330,394,393,393,3716,3695,3649,4322,-36,4322,1,49.95,158021
2019-09-11 10:56:05.439,396,397,395,3712,3700,3633,4348,-11,4348,1,49.95,158022
2019-09-11 10:56:05.521,392,391,388,3704,3690,3634,4343,-3,4343,1,49.97,158023
2019-09-11 10:56:05.631,388,393,394,3719,3714,3647,4301,-39,4301,1,49.96,158024
2019-09-11 10:56:05.726,393,391,392,3751,3721,3638,4339,10,4339,1,49.98,158025
2019-09-11 10:56:05.820,389,388,385,3733,3735,3666,4354,-9,4354,1,49.98,158026
2019-09-11 10:56:05.923,389,388,391,3735,3723,3668,4428,-29,4428,1,49.99,158027
2019-09-11 10:56:06.024,388,387,386,3764,3723,3666,4341,-5,4341,1,49.96,158028
2019-09-11 10:56:06.150,386,390,390,3784,3782,3709,4411,-41,4412,1,50.01,158029
2019-09-11 10:56:06.275,389,388,386,3801,3793,3724,4411,-35,4411,1,49.99,158030
2019-09-11 10:56:06.399,391,392,393,3804,3795,3720,4436,-20,4436,1,49.95,158031
2019-09-11 10:56:06.464,390,388,388,3819,3797,3734,4445,-2,4445,1,49.99,158032
2019-09-11 10:56:06.592,391,389,392,3819,3815,3739,4425,35,4425,1,49.96,158033
2019-09-11 10:56:06.659,392,392,390,3841,3822,3752,4467,-40,4467,1,49.98,158034
2019-09-11 10:56:06.769,395,394,393,3850,3830,3769,4427,-51,4427,1,49.95,158035
2019-09-11 10:56:06.863,392,390,386,3854,3818,3771,4493,-25,4493,1,49.96,158036
2019-09-11 10:56:06.982,394,393,393,3866,3862,3791,4508,6,4508,1,49.95,158037
2019-09-11 10:56:07.099,393,394,395,3870,3857,3788,4528,-35,4528,1,49.96,158038
2019-09-11 10:56:07.163,387,392,389,3879,3872,3804,4469,-41,4469,1,49.99,158039
2019-09-11 10:56:07.273,389,390,389,3908,3876,3823,4500,-27,4500,1,49.98,158040
2019-09-11 10:56:07.370,396,394,394,3904,3881,3828,4548,-38,4548,1,49.98,158041
2019-09-11 10:56:07.466,390,391,392,3922,3905,3825,4529,-32,4529,1,49.97,158042
2019-09-11 10:56:07.610,392,391,393,3925,3894,3823,4559,-8,4559,1,49.97,158043
2019-09-11 10:56:07.734,391,388,386,3938,3915,3851,4636,-8,4636,1,49.99,158044
2019-09-11 10:56:07.814,395,390,389,3940,3928,3853,4569,-57,4569,1,49.97,158045
2019-09-11 10:56:07.939,390,387,393,3949,3954,3880,4609,-9,4609,1,49.97,158046
2019-09-11 10:56:08.044,393,389,391,3947,3945,3874,4613,17,4613,1,49.95,158047
